model_name,model_label,internal_test_sample_n,internal_test_death_n,internal_test_death_ratio,internal_test_auroc_death_ovr,internal_test_auprc_death,internal_test_multiclass_brier,internal_test_calibration_intercept_death,internal_test_calibration_slope_death,external_validation_sample_n,external_validation_death_n,external_validation_death_ratio,external_validation_auroc_death_ovr,external_validation_auprc_death,external_validation_multiclass_brier,external_validation_calibration_intercept_death,external_validation_calibration_slope_death,status_note
M1,Main competing-risk model,1030526.0,20807.0,0.0201906599154218,0.8706060787754399,0.27329018706990316,0.4672366844800886,-3.273295275534653,0.8956652954850325,1051357.0,22593.0,0.02148937040415384,0.7089861413441381,0.03767122061388028,0.8788226425612441,-3.876280772129997,0.07282813447513745,
C1,Dynamic SOFA-only comparator,1030526.0,20807.0,0.0201906599154218,0.7623211132262807,0.10638629667868578,0.5585232725241237,-3.3189832838171824,0.9323289372158002,1051357.0,22593.0,0.02148937040415384,0.7253473181676158,0.06686175894737584,0.8256609410276378,-3.512608641314722,0.4919345994434351,
C3,Main model without phenotype_label,1030526.0,20807.0,0.0201906599154218,0.870489036704311,0.273646094455321,0.4682284734521249,-3.277206559811351,0.898558076452806,1051357.0,22593.0,0.02148937040415384,0.708259779836543,0.03751773779322724,0.9002640240261139,-3.886983331260689,0.0717385365434251,
C2,Dynamic OASIS-only comparator,,,,,,,,,,,,,,,,,"Unavailable: dynamic OASIS could not be stably reconstructed because the required GCS scoring inputs, age scoring interface, and pre-ICU LOS fields were not retained in the final model-ready tables."
