use_case,dataset_name,subset_name,base_model_name,phenotype_input_flag,phenotype_stratification_flag,sample_n,death_n,death_rate,auroc_death,auprc_death,death_brier,multiclass_brier,calibration_intercept_death,calibration_slope_death,mean_predicted_death,auroc_death_sd_across_phenotypes,auroc_death_range_across_phenotypes,auprc_death_sd_across_phenotypes,auprc_death_range_across_phenotypes,death_brier_sd_across_phenotypes,death_brier_range_across_phenotypes,calibration_slope_death_sd_across_phenotypes,calibration_slope_death_range_across_phenotypes,worst_auprc_phenotype,worst_calibration_phenotype,role_definition,p1_auroc_death,p1_auprc_death,p1_death_brier,p1_multiclass_brier,p1_calibration_intercept_death,p1_calibration_slope_death,delta_auroc_vs_p1,delta_auprc_vs_p1,delta_death_brier_vs_p1,delta_multiclass_brier_vs_p1,delta_calibration_intercept_vs_p1,delta_calibration_slope_vs_p1
P1_no_phenotype,internal_test,all,C3_no_phenotype,0,0,1030526.0,20807.0,0.020190659915421832,0.870489036704311,0.273646094455321,0.08267529217494725,0.4682284734521249,-3.277206559805707,0.8985580055487012,0.20713825293999985,0.012050656326925632,0.02869250891141162,0.021137478565715923,0.04864047856895709,0.0340224205998042,0.0802992359457015,0.019844365654401272,0.04658714328408242,Phenotype_2,Phenotype_1,Phenotype not used in training or evaluation logic beyond post-hoc labeling.,0.870489036704311,0.273646094455321,0.08267529217494725,0.4682284734521249,-3.277206559805707,0.8985580055487012,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,internal_test,exclude_phenotype3,C3_no_phenotype,0,0,982736.0,19254.0,0.019592240438937824,0.8711065053492559,0.27091977198429384,0.07931634438950477,0.46920682332859487,-3.2676209067561253,0.8972971276355493,0.2014866577154851,0.012050656326925632,0.02869250891141162,0.021137478565715923,0.04864047856895709,0.0340224205998042,0.0802992359457015,0.019844365654401272,0.04658714328408242,Phenotype_2,Phenotype_1,Phenotype not used in training or evaluation logic beyond post-hoc labeling.,0.8711065053492559,0.27091977198429384,0.07931634438950477,0.46920682332859487,-3.2676209067561253,0.8972971276355493,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,external_eicu,all,C3_no_phenotype,0,0,1051357.0,22593.0,0.02148937040415387,0.708259779836543,0.03751773779322724,0.2664250251252436,0.9002640240261139,-3.883794920754151,0.0728220608326562,0.40640772523492713,0.029566178397706255,0.0711065589190587,0.022469617320061336,0.05148273084882135,0.051545712504044036,0.12574735564943024,0.017402886235095588,0.04045807513279584,Phenotype_1,Phenotype_2,Phenotype not used in training or evaluation logic beyond post-hoc labeling.,0.708259779836543,0.03751773779322724,0.2664250251252436,0.9002640240261139,-3.883794920754151,0.0728220608326562,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,external_eicu,exclude_phenotype3,C3_no_phenotype,0,0,990579.0,20018.0,0.020208383177919176,0.7012690729933736,0.03451326808327079,0.26401026130838245,0.9018342637994843,-3.941328163479413,0.06957246363069075,0.4028030671698638,0.029566178397706255,0.0711065589190587,0.022469617320061336,0.05148273084882135,0.051545712504044036,0.12574735564943024,0.017402886235095588,0.04045807513279584,Phenotype_1,Phenotype_2,Phenotype not used in training or evaluation logic beyond post-hoc labeling.,0.7012690729933736,0.03451326808327079,0.26401026130838245,0.9018342637994843,-3.941328163479413,0.06957246363069075,0.0,0.0,0.0,0.0,0.0,0.0
P2_phenotype_input,internal_test,all,M1_main,1,0,1030526.0,20807.0,0.020190659915421832,0.8706060787754399,0.27329018706990316,0.0822693674923373,0.4672366844800886,-3.273295275529093,0.895665295468659,0.2061261089426657,0.01230987293732673,0.029720095563171012,0.02051369268600739,0.0470384993480098,0.04961587650114405,0.1162220125422747,0.018656104411492982,0.044137943820555914,Phenotype_2,Phenotype_1,Phenotype hard label included directly as a model input.,0.870489036704311,0.273646094455321,0.08267529217494725,0.4682284734521249,-3.277206559805707,0.8985580055487012,0.00011704207112894771,-0.00035590738541785294,-0.00040592468260994274,-0.0009917889720363338,0.003911284276614246,-0.0028927100800422156
P2_phenotype_input,internal_test,exclude_phenotype3,M1_main,1,0,982736.0,19254.0,0.019592240438937824,0.8717280764278691,0.27164180159539586,0.07735826331309897,0.46522521186148674,-3.2420220860887374,0.8998630923665119,0.19829592635025722,0.01230987293732673,0.029720095563171012,0.02051369268600739,0.0470384993480098,0.04961587650114405,0.1162220125422747,0.018656104411492982,0.044137943820555914,Phenotype_2,Phenotype_1,Phenotype hard label included directly as a model input.,0.8711065053492559,0.27091977198429384,0.07931634438950477,0.46920682332859487,-3.2676209067561253,0.8972971276355493,0.000621571078613159,0.0007220296111020152,-0.0019580810764057988,-0.003981611467108126,0.025598820667387834,0.0025659647309626
P2_phenotype_input,external_eicu,all,M1_main,1,0,1051357.0,22593.0,0.02148937040415387,0.7089861413441381,0.03767122061388028,0.2569759196237723,0.8788226425612441,-3.876280772129801,0.07282813447500927,0.393371238757,0.02962756386502754,0.0714577986504723,0.022394968818268822,0.05128478944001677,0.056292003952258134,0.13334473809102396,0.018395961501690664,0.0423002683754647,Phenotype_1,Phenotype_2,Phenotype hard label included directly as a model input.,0.708259779836543,0.03751773779322724,0.2664250251252436,0.9002640240261139,-3.883794920754151,0.0728220608326562,0.0007263615075950858,0.00015348282065303503,-0.009449105501471267,-0.021441381464869846,0.007514148624350181,6.073642353068842e-06
P2_phenotype_input,external_eicu,exclude_phenotype3,M1_main,1,0,990579.0,20018.0,0.020208383177919176,0.7015312500353825,0.03453636480171189,0.25205424671302734,0.8759643519274207,-3.931581045324487,0.0688055133116076,0.3864894791555268,0.02962756386502754,0.0714577986504723,0.022394968818268822,0.05128478944001677,0.056292003952258134,0.13334473809102396,0.018395961501690664,0.0423002683754647,Phenotype_1,Phenotype_2,Phenotype hard label included directly as a model input.,0.7012690729933736,0.03451326808327079,0.26401026130838245,0.9018342637994843,-3.941328163479413,0.06957246363069075,0.00026217704200892644,2.3096718441098507e-05,-0.011956014595355113,-0.025869911872063556,0.009747118154926238,-0.0007669503190831511
P3_stratification_only,internal_test,all,C3_no_phenotype,0,1,1030526.0,20807.0,0.020190659915421832,0.870489036704311,0.273646094455321,0.08267529217494725,0.4682284734521249,-3.277206559805707,0.8985580055487012,0.20713825293999985,0.012050656326925632,0.02869250891141162,0.021137478565715923,0.04864047856895709,0.0340224205998042,0.0802992359457015,0.019844365654401272,0.04658714328408242,Phenotype_2,Phenotype_1,Base model is no-phenotype; phenotype is used only to organize subgroup evaluation and calibration review.,0.870489036704311,0.273646094455321,0.08267529217494725,0.4682284734521249,-3.277206559805707,0.8985580055487012,0.0,0.0,0.0,0.0,0.0,0.0
P3_stratification_only,internal_test,exclude_phenotype3,C3_no_phenotype,0,1,982736.0,19254.0,0.019592240438937824,0.8711065053492559,0.27091977198429384,0.07931634438950477,0.46920682332859487,-3.2676209067561253,0.8972971276355493,0.2014866577154851,0.012050656326925632,0.02869250891141162,0.021137478565715923,0.04864047856895709,0.0340224205998042,0.0802992359457015,0.019844365654401272,0.04658714328408242,Phenotype_2,Phenotype_1,Base model is no-phenotype; phenotype is used only to organize subgroup evaluation and calibration review.,0.8711065053492559,0.27091977198429384,0.07931634438950477,0.46920682332859487,-3.2676209067561253,0.8972971276355493,0.0,0.0,0.0,0.0,0.0,0.0
