model_name,dataset_name,phenotype_label,status,row_n,cluster_n,death_row_n,cluster_id_used,bootstrap_unit,n_resamples_requested,n_resamples_valid,n_resamples_skipped,AUROC,AUROC_95CI,AUPRC,AUPRC_95CI,Brier,Brier_95CI,calibration_slope,calibration_slope_95CI
MT3_Post_METRE_transport_reference_model,eicu_external,Phenotype_1,ok,901939,7779,17536,patient_id,patient-level,1000,1000,0,0.8033426658665186,0.7876-0.8183,0.1694630507656393,0.1488-0.1952,0.0907724983435544,0.0872-0.0948,0.9823160164555788,0.9201-1.0411
MT3_Post_METRE_transport_reference_model,eicu_external,Phenotype_2,ok,88640,580,2482,patient_id,patient-level,1000,1000,0,0.819432877090174,0.7774-0.8599,0.2302847700248927,0.1745-0.3116,0.1286805567055627,0.1166-0.1418,1.014201460553377,0.8628-1.1998
MT3_Post_METRE_transport_reference_model,eicu_external,Phenotype_3,ok,60778,455,2575,patient_id,patient-level,1000,1000,0,0.8114804878606166,0.7649-0.8605,0.2618593856099331,0.1962-0.3440,0.1831424967686726,0.1621-0.2084,0.8535257208180478,0.7120-1.0359
M1_internal_rich_reference_model,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.8793393359222824,0.8664-0.8917,0.2760069415840452,0.2442-0.3132,0.0670374967514425,0.0627-0.0713,0.8979350976069896,0.8434-0.9532
M1_internal_rich_reference_model,mimic_internal,Phenotype_2,ok,371043,2215,7852,patient_id,patient-level,1000,1000,0,0.8600707381992686,0.8420-0.8772,0.2677908559158024,0.2269-0.3103,0.0943728429181563,0.0883-0.1004,0.909751875623936,0.8375-0.9727
M1_internal_rich_reference_model,mimic_internal,Phenotype_3,ok,47790,245,1553,patient_id,patient-level,1000,1000,0,0.8496192403591114,0.8041-0.8902,0.3148293552638121,0.2359-0.4026,0.1832595092937173,0.1618-0.2061,0.9420730414275456,0.8111-1.1009
M1_internal_rich_reference_model,eicu_external,Phenotype_1,ok,901939,7779,17536,patient_id,patient-level,1000,1000,0,0.7023950988746287,0.6824-0.7206,0.0335092717888762,0.0298-0.0373,0.2401220983395212,0.2277-0.2554,0.0679558369997074,0.0497-0.0852
M1_internal_rich_reference_model,eicu_external,Phenotype_2,ok,88640,580,2482,patient_id,patient-level,1000,1000,0,0.6777192405482431,0.6261-0.7277,0.0423505543922877,0.0347-0.0695,0.3734667838833028,0.3345-0.4154,0.0602543744785497,0.0219-0.1055
M1_internal_rich_reference_model,eicu_external,Phenotype_3,ok,60778,455,2575,patient_id,patient-level,1000,1000,0,0.7490338719069798,0.6990-0.7990,0.080530694586304,0.0614-0.1074,0.337190847966935,0.2940-0.3817,0.1025546428540145,0.0590-0.1625
C1_dynamic_SOFA_clinical_comparator,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.7577349332179751,0.7372-0.7786,0.1027579830346584,0.0844-0.1252,0.1010216004187301,0.0963-0.1060,0.8874670666457811,0.8134-0.9632
C1_dynamic_SOFA_clinical_comparator,mimic_internal,Phenotype_2,ok,371043,2215,7852,patient_id,patient-level,1000,1000,0,0.7602404274544826,0.7352-0.7823,0.0996969463796004,0.0787-0.1252,0.1313426434928694,0.1250-0.1377,0.992795726881054,0.8884-1.0931
C1_dynamic_SOFA_clinical_comparator,mimic_internal,Phenotype_3,ok,47790,245,1553,patient_id,patient-level,1000,1000,0,0.8005841038961877,0.7470-0.8502,0.1662390334623694,0.1139-0.2349,0.1877151624077524,0.1693-0.2079,1.1484276766373132,0.9418-1.3911
C1_dynamic_SOFA_clinical_comparator,eicu_external,Phenotype_1,ok,901939,7779,17536,patient_id,patient-level,1000,1000,0,0.7182532317593807,0.6983-0.7353,0.0591185139155213,0.0504-0.0699,0.1132476940383673,0.1072-0.1207,0.4856017062465022,0.4440-0.5268
C1_dynamic_SOFA_clinical_comparator,eicu_external,Phenotype_2,ok,88640,580,2482,patient_id,patient-level,1000,1000,0,0.7293131919864109,0.6822-0.7787,0.0770931890338104,0.0568-0.1065,0.1937833743538233,0.1747-0.2150,0.4688387363040853,0.3743-0.5661
C1_dynamic_SOFA_clinical_comparator,eicu_external,Phenotype_3,ok,60778,455,2575,patient_id,patient-level,1000,1000,0,0.7250474627721621,0.6727-0.7791,0.1277479781530279,0.0888-0.1895,0.1689773586545212,0.1413-0.1972,0.5005386916777268,-36255959.5001-18248456.7802
