model_name,threshold,true_positives,false_positives,true_negatives,false_negatives,sensitivity_recall,specificity,PPV,NPV,F1_score,false_positive_rate,false_negative_rate,number_screened_positive,screen_positive_proportion,event_rate_among_screen_positive,event_rate_among_screen_negative,net_benefit,treat_all_net_benefit,treat_none_net_benefit,prevalence,n,unstable_threshold_note
P15_clinically_parsimonious_transport_model,0.005,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.01657223156196369,0.01657223156196369,0.0,0.02148937040415387,1051357.0,
P15_clinically_parsimonious_transport_model,0.01,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.011605424650660476,0.011605424650660476,0.0,0.02148937040415387,1051357.0,
P15_clinically_parsimonious_transport_model,0.02,22593.0,1028731.0,33.0,0.0,1.0,3.207732774475001e-05,0.021490044933816788,1.0,0.04207587737227365,0.9999679226722552,0.0,1051324.0,0.9999686119938327,0.021490044933816788,0.0,0.0015204062900787893,0.0015197657185243574,0.0,0.02148937040415387,1051357.0,
P15_clinically_parsimonious_transport_model,0.03,22593.0,1028217.0,547.0,0.0,1.0,0.0005317060083750986,0.021500556713392526,1.0,0.04209602544431122,0.999468293991625,0.0,1050810.0,0.999479720018985,0.021500556713392526,0.0,-0.008757753810737814,-0.008773844944171268,0.0,0.02148937040415387,1051357.0,
P15_clinically_parsimonious_transport_model,0.05,22547.0,1016020.0,12744.0,46.0,0.997963971141504,0.01238768075088164,0.021709721183130217,0.9964034401876466,0.042495005465716766,0.9876123192491184,0.002036028858495964,1038567.0,0.9878347697309287,0.021709721183130217,0.003596559812353401,-0.029416969537564563,-0.030011189048259092,0.0,0.02148937040415387,1051357.0,
P15_clinically_parsimonious_transport_model,0.1,22158.0,877125.0,151639.0,435.0,0.9807462488381357,0.14739920914806506,0.024639629571558675,0.9971395504820022,0.048071541074938495,0.852600790851935,0.01925375116186434,899283.0,0.8553545560642104,0.024639629571558675,0.0028604495179978167,-0.07162204021405986,-0.08723403288427349,0.0,0.02148937040415387,1051357.0,
P12_true_trained_clinical_landing_model,0.005,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.01657223156196369,0.01657223156196369,0.0,0.02148937040415387,1051357.0,
P12_true_trained_clinical_landing_model,0.01,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.011605424650660476,0.011605424650660476,0.0,0.02148937040415387,1051357.0,
P12_true_trained_clinical_landing_model,0.02,22593.0,1028751.0,13.0,0.0,1.0,1.2636523050962125e-05,0.02148963612290554,1.0,0.04207509379041787,0.999987363476949,0.0,1051344.0,0.9999876350278735,0.02148963612290554,0.0,0.0015200180648942858,0.0015197657185243574,0.0,0.02148937040415387,1051357.0,
P12_true_trained_clinical_landing_model,0.03,22593.0,1028566.0,198.0,0.0,1.0,0.00019246396646850007,0.021493418217415253,1.0,0.04208234303638084,0.9998075360335315,0.0,1051159.0,0.9998116719629964,0.021493418217415253,0.0,-0.008768020365707237,-0.008773844944171268,0.0,0.02148937040415387,1051357.0,
