model_name,feature_count,training_status,eICU_AUROC,eICU_AUROC_95CI,eICU_AUPRC,eICU_AUPRC_95CI,eICU_calibration_slope,eICU_calibration_slope_95CI,relative_AUPRC_drop_pct_vs_P15,noninferiority_status,recommended_role,ci_method
P15_clinically_parsimonious_transport_model,15,frozen_preexisting_reference_not_retrained_this_round,0.8103,0.7963-0.8232,0.1892,0.1681-0.2116,1.0031,0.9413-1.0584,0.0,True,formal_main_model_reference,patient-level cluster bootstrap; 1000 resamples; seed 20260511
P12_true_trained_clinical_landing_model,12,true_trained_on_mimic_train_inner_only,0.8038,0.7897-0.8166,0.1767,0.1576-0.1976,1.01,0.9476-1.0655,6.5828,True,validated_simplified_implementation_candidate,patient-level cluster bootstrap; 1000 resamples; seed 20260511
P10_true_trained_ultra_minimal_sensitivity_model,10,true_trained_on_mimic_train_inner_only,0.7978,0.7834-0.8108,0.1711,0.1526-0.1921,1.0133,0.9542-1.0720,9.5577,True,validated_ultra_minimal_sensitivity_candidate_but_not_main_model,patient-level cluster bootstrap; 1000 resamples; seed 20260511
