model_display_name,feature_count,training_status,eICU_AUROC,eICU_AUPRC,eICU_calibration_slope,delta_AUROC_vs_P15,delta_AUPRC_vs_P15,relative_AUPRC_drop_pct_vs_P15,noninferiority_status,recommended_role,caution_note,eICU_AUROC_95CI_lower,eICU_AUROC_95CI_upper,eICU_AUPRC_95CI_lower,eICU_AUPRC_95CI_upper,eICU_calibration_slope_95CI_lower,eICU_calibration_slope_95CI_upper
P15_clinically_parsimonious_transport_model,15,frozen_preexisting_reference_not_retrained_this_round,0.8103,0.1892,1.0031,0.0,0.0,0.0,True,formal_main_model_reference,P15 formal main model.,0.7963439206965869,0.8232339503024773,0.16812688882392224,0.211591489309093,0.941324915663837,1.058383574672345
P12_true_trained_clinical_landing_model,12,true_trained_on_mimic_train_inner_only,0.8038,0.1767,1.01,-0.0065,-0.0125,6.5828,True,validated_simplified_implementation_candidate,True-trained on MIMIC train only; eICU external validation only; does not replace P15.,0.7897441843347274,0.8166174675104577,0.15756658090805598,0.19764521907418897,0.9475955625661882,1.0655236664946628
P10_true_trained_ultra_minimal_sensitivity_model,10,true_trained_on_mimic_train_inner_only,0.7978,0.1711,1.0133,-0.0125,-0.0181,9.5577,True,validated_ultra_minimal_sensitivity_candidate_but_not_main_model,True-trained on MIMIC train only; eICU external validation only; does not replace P15.,0.7833785792096832,0.8107582947762925,0.15260048794625541,0.1920866266966303,0.9542482334174383,1.0720331400630425
