model_display_name,legacy_or_source_name,model_role,feature_count,MIMIC_AUROC,MIMIC_AUPRC,MIMIC_Brier,eICU_AUROC,eICU_AUPRC,eICU_calibration_slope,clinical_interpretation,manuscript_use,eICU_AUROC_95CI_lower,eICU_AUROC_95CI_upper,eICU_AUPRC_95CI_lower,eICU_AUPRC_95CI_upper,eICU_calibration_slope_95CI_lower,eICU_calibration_slope_95CI_upper,MIMIC_AUROC_95CI_lower,MIMIC_AUROC_95CI_upper,MIMIC_AUPRC_95CI_lower,MIMIC_AUPRC_95CI_upper,MIMIC_Brier_95CI_lower,MIMIC_Brier_95CI_upper
M1_internal_rich_reference_model,M1_original_rich,internal rich reference,70,0.8706,0.2733,0.4672,0.709,0.0377,0.0728,Internal rich/reference model; strong internal discrimination but externally unstable.,internal rich/reference model only; not the external transport model,0.6920550319617024,0.723860996632785,0.03387938725839306,0.041365757915737066,-55008230.68176477,-1369878.519241678,0.8605593543377531,0.8807473815677915,0.2480213338900946,0.2999917579937161,0.45821543147678984,0.47708615870204457
MT3_Post_METRE_transport_reference_model,MT3_physiology_support_proxy,Post-METRE reference,21,0.8053,0.2053,0.5758,0.809,0.1863,0.9652,Post-METRE transport reference and comparator for the clinically parsimonious P15 model.,transport reference comparator; not final model,0.795045287365869,0.8217727815556999,0.16491713744685269,0.20768614524432744,0.908232220148423,1.014371832432257,0.7913191932606234,0.8200109558462794,0.1835252455075459,0.2273132311875891,0.5701448239546328,0.5825030191603224
P15_clinically_parsimonious_transport_model,P15_minimal_bedside_model,formal main model,15,0.7977,0.1982,0.5843,0.8103,0.1892,1.0031,Final clinically parsimonious transport model; 15 features with stable eICU discrimination and calibration. Not an all-bedside score; includes routine labs and a shared support-intensity proxy.,formal manuscript-facing model,0.7963439206965869,0.8232339503024773,0.16812688882392224,0.211591489309093,0.941324915663837,1.058383574672345,0.7828078937598131,0.8128821829613658,0.17720278234120532,0.219670809708665,0.5784527542185102,0.5907422447935099
P12_true_trained_clinical_landing_model,P12_balanced_transport_set,validated simplified implementation candidate,12,0.793,0.1785,0.5991,0.8038,0.1767,1.01,validated simplified implementation candidate; true-trained on MIMIC only and externally validated in eICU.,"implementation sensitivity / clinical simplification candidate, not replacing P15",0.7897441843347274,0.8166174675104577,0.15756658090805598,0.19764521907418897,0.9475955625661882,1.0655236664946628,0.7777620008686132,0.8072741359023854,0.15896956553884212,0.20022960345410581,0.5938431341182431,0.6053630444580208
P10_true_trained_ultra_minimal_sensitivity_model,P10_ultra_minimal_transport_set,validated ultra-minimal sensitivity candidate,10,0.7864,0.1732,0.601,0.7978,0.1711,1.0133,validated ultra-minimal sensitivity candidate; true-trained on MIMIC only and externally validated in eICU.,"ultra-minimal sensitivity candidate, not replacing P15",0.7833785792096832,0.8107582947762925,0.15260048794625541,0.1920866266966303,0.9542482334174383,1.0720331400630425,0.7713971577649359,0.8013609149196115,0.15417492944851793,0.1948056374933636,0.595523583693563,0.607227985381878
C1_dynamic_SOFA_clinical_comparator,C1_dynamic_SOFA,clinical comparator,15,0.7623,0.1064,0.5585,0.7253,0.0669,0.4919,Clinical comparator with lower eICU discrimination and calibration than the final P15 model.,dynamic SOFA clinical comparator,0.7082484711814176,0.741957578020345,0.056986843279018054,0.07680417801478084,0.45558328354019195,0.5263212872860003,0.7463709143268904,0.7777895313674736,0.09169849855595084,0.12206358804694603,0.5504981473713744,0.5679241116892215
