alarm_before_eventual_death_stay_n,analysis_type,evaluated_stay_n,eventual_death_stay_n,eventual_lead_time_iqr_high_hours,eventual_lead_time_iqr_low_hours,eventual_lead_time_max_hours,eventual_lead_time_median_hours,false_or_non_strict_first_alarm_stay_n,first_alarm_stay_n,fp,lead_time_definition,model_name,n,net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,no_alarm_stay_n,positive_n,prevalence,strict_eventual_death_capture_rate,strict_lead_time_iqr_high_hours,strict_lead_time_iqr_low_hours,strict_lead_time_max_hours,strict_lead_time_median_hours,strict_true_alarm_ppv,strict_true_alarm_stay_n,threshold,tp,treat_all_net_benefit,treat_none_net_benefit
,DCA_24h_death,,,,,,,,,698398.0,,M1_original_rich,835788.0,-0.0468945053827823,0.0109245018683775,-0.0468945053827823,,715831.0,0.021517418292677,,,,,,,,0.075,17433.0,-0.0578190072511598,0.0
,DCA_24h_death,,,,,,,,,645164.0,,M1_original_rich,835788.0,-0.0653370099700987,0.0218658585935933,-0.0653370099700987,,662241.0,0.021517418292677,,,,,,,,0.1,17077.0,-0.0872028685636921,0.0
,DCA_24h_death,,,,,,,,,553231.0,,M1_original_rich,835788.0,-0.0972471487984991,0.0539088296807042,-0.0972471487984991,,569582.0,0.021517418292677,,,,,,,,0.15,16351.0,-0.1511559784792034,0.0
,DCA_24h_death,,,,,,,,,481047.0,,M1_original_rich,835788.0,-0.1251534480035607,0.0979497791305929,-0.1251534480035607,,496707.0,0.021517418292677,,,,,,,,0.2,15660.0,-0.2231032271341536,0.0
,DCA_24h_death,,,,,,,,,375982.0,,M1_original_rich,835788.0,-0.1756200649652099,0.2222121946166799,-0.1756200649652099,,390336.0,0.021517418292677,,,,,,,,0.3,14354.0,-0.3978322595818898,0.0
,DCA_24h_death,,,,,,,,,817804.0,,C1_dynamic_SOFA,835788.0,0.0166004203946503,0.0,0.0166004203946503,,835788.0,0.021517418292677,,,,,,,,0.005,17984.0,0.0166004203946503,0.0
,DCA_24h_death,,,,,,,,,817804.0,,C1_dynamic_SOFA,835788.0,0.0116337558511889,-1.734723475976807e-18,0.0116337558511889,,835788.0,0.021517418292677,,,,,,,,0.01,17984.0,0.0116337558511889,0.0
,DCA_24h_death,,,,,,,,,817802.0,,C1_dynamic_SOFA,835788.0,0.001548434848677,4.883574127728663e-08,0.001548434848677,,835786.0,0.021517418292677,,,,,,,,0.02,17984.0,0.0015483860129358,0.0
,DCA_24h_death,,,,,,,,,817756.0,,C1_dynamic_SOFA,835788.0,-0.0087431533838872,1.7762112909866512e-06,-0.0087431533838872,,835740.0,0.021517418292677,,,,,,,,0.03,17984.0,-0.0087449295951782,0.0
,DCA_24h_death,,,,,,,,,815929.0,,C1_dynamic_SOFA,835788.0,-0.0298635916990281,0.0001180732560485,-0.0298635916990281,,833913.0,0.021517418292677,,,,,,,,0.05,17984.0,-0.0299816649550767,0.0
,DCA_24h_death,,,,,,,,,800731.0,,C1_dynamic_SOFA,835788.0,-0.0562919485983708,0.001527058652789,-0.0562919485983708,,818607.0,0.021517418292677,,,,,,,,0.075,17876.0,-0.0578190072511598,0.0
,DCA_24h_death,,,,,,,,,750442.0,,C1_dynamic_SOFA,835788.0,-0.078668806496916,0.0085340620667761,-0.078668806496916,,768074.0,0.021517418292677,,,,,,,,0.1,17632.0,-0.0872028685636921,0.0
,DCA_24h_death,,,,,,,,,575009.0,,C1_dynamic_SOFA,835788.0,-0.102060781526641,0.0490951969525624,-0.102060781526641,,591180.0,0.021517418292677,,,,,,,,0.15,16171.0,-0.1511559784792034,0.0
,DCA_24h_death,,,,,,,,,390903.0,,C1_dynamic_SOFA,835788.0,-0.099996350749233,0.1231068763849205,-0.099996350749233,,405053.0,0.021517418292677,,,,,,,,0.2,14150.0,-0.2231032271341536,0.0
,DCA_24h_death,,,,,,,,,216200.0,,C1_dynamic_SOFA,835788.0,-0.0976732650590136,0.3001589945228762,-0.0976732650590136,,227223.0,0.021517418292677,,,,,,,,0.3,11023.0,-0.3978322595818898,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,0.0166004203946503,0.0,0.0166004203946503,,835788.0,0.021517418292677,,,,,,,,0.005,17984.0,0.0166004203946503,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,-0.0166004203946503,0.0,,0.0,0.021517418292677,,,,,,,,0.005,0.0,0.0166004203946503,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,0.0116337558511889,0.0,0.0116337558511889,,835788.0,0.021517418292677,,,,,,,,0.01,17984.0,0.0116337558511889,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,-0.0116337558511889,0.0,,0.0,0.021517418292677,,,,,,,,0.01,0.0,0.0116337558511889,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,0.0015483860129358,0.0,0.0015483860129358,,835788.0,0.021517418292677,,,,,,,,0.02,17984.0,0.0015483860129358,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,-0.0015483860129358,0.0,,0.0,0.021517418292677,,,,,,,,0.02,0.0,0.0015483860129358,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.0087449295951782,0.0,-0.0087449295951782,,835788.0,0.021517418292677,,,,,,,,0.03,17984.0,-0.0087449295951782,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.0087449295951782,0.0,,0.0,0.021517418292677,,,,,,,,0.03,0.0,-0.0087449295951782,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.0299816649550767,0.0,-0.0299816649550767,,835788.0,0.021517418292677,,,,,,,,0.05,17984.0,-0.0299816649550767,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.0299816649550767,0.0,,0.0,0.021517418292677,,,,,,,,0.05,0.0,-0.0299816649550767,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.0578190072511598,0.0,-0.0578190072511598,,835788.0,0.021517418292677,,,,,,,,0.075,17984.0,-0.0578190072511598,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.0578190072511598,0.0,,0.0,0.021517418292677,,,,,,,,0.075,0.0,-0.0578190072511598,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.0872028685636921,0.0,-0.0872028685636921,,835788.0,0.021517418292677,,,,,,,,0.1,17984.0,-0.0872028685636921,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.0872028685636921,0.0,,0.0,0.021517418292677,,,,,,,,0.1,0.0,-0.0872028685636921,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.1511559784792034,0.0,-0.1511559784792034,,835788.0,0.021517418292677,,,,,,,,0.15,17984.0,-0.1511559784792034,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.1511559784792034,0.0,,0.0,0.021517418292677,,,,,,,,0.15,0.0,-0.1511559784792034,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.2231032271341536,0.0,-0.2231032271341536,,835788.0,0.021517418292677,,,,,,,,0.2,17984.0,-0.2231032271341536,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.2231032271341536,0.0,,0.0,0.021517418292677,,,,,,,,0.2,0.0,-0.2231032271341536,0.0
,DCA_24h_death,,,,,,,,,817804.0,,treat_all,835788.0,-0.3978322595818898,0.0,-0.3978322595818898,,835788.0,0.021517418292677,,,,,,,,0.3,17984.0,-0.3978322595818898,0.0
,DCA_24h_death,,,,,,,,,0.0,,treat_none,835788.0,0.0,0.3978322595818898,0.0,,0.0,0.021517418292677,,,,,,,,0.3,0.0,-0.3978322595818898,0.0
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,C1_dynamic_SOFA,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.005,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,C1_dynamic_SOFA,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.01,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,C1_dynamic_SOFA,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.02,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,C1_dynamic_SOFA,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.03,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6961.0,7212.0,,,C1_dynamic_SOFA,,,,,2.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0348031059345535,251.0,0.05,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6907.0,7158.0,,,C1_dynamic_SOFA,,,,,56.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0350656607991059,251.0,0.075,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6562.0,6817.0,,,C1_dynamic_SOFA,,,,,397.0,,,0.2855543113101904,15.933333333333334,4.041666666666666,23.98333333333333,8.766666666666667,0.0374064837905236,255.0,0.1,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,5250.0,5497.0,,,C1_dynamic_SOFA,,,,,1717.0,,,0.2765957446808511,15.8,4.416666666666667,23.966666666666665,9.016666666666667,0.0449336001455339,247.0,0.15,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,4040.0,4292.0,,,C1_dynamic_SOFA,,,,,2922.0,,,0.2821948488241881,15.891666666666666,4.195833333333334,23.75,8.833333333333334,0.0587138863000931,252.0,0.2,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,M1_original_rich,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.005,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6962.0,7213.0,,,M1_original_rich,,,,,1.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347982808817413,251.0,0.01,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6954.0,7205.0,,,M1_original_rich,,,,,9.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0348369188063844,251.0,0.02,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6942.0,7193.0,,,M1_original_rich,,,,,21.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0348950368413735,251.0,0.03,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6907.0,7158.0,,,M1_original_rich,,,,,56.0,,,0.2810750279955207,15.675,3.666666666666667,23.75,8.366666666666667,0.0350656607991059,251.0,0.05,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6768.0,7021.0,,,M1_original_rich,,,,,193.0,,,0.2833146696528555,15.833333333333334,3.7,23.75,8.4,0.0360347528842045,253.0,0.075,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6594.0,6848.0,,,M1_original_rich,,,,,366.0,,,0.284434490481523,15.870833333333334,3.716666666666667,23.75,8.5,0.0370911214953271,254.0,0.1,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6218.0,6473.0,,,M1_original_rich,,,,,741.0,,,0.2855543113101904,15.666666666666666,4.016666666666667,23.75,8.4,0.0393944075390081,255.0,0.15,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,5850.0,6109.0,,,M1_original_rich,,,,,1105.0,,,0.29003359462486,15.5,3.883333333333333,23.75,8.4,0.0423964642330987,259.0,0.2,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,MT3_raw,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.005,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,MT3_raw,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.01,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6963.0,7214.0,,,MT3_raw,,,,,0.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347934571666204,251.0,0.02,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6962.0,7213.0,,,MT3_raw,,,,,1.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0347982808817413,251.0,0.03,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6946.0,7197.0,,,MT3_raw,,,,,17.0,,,0.2810750279955207,15.675,3.733333333333333,23.75,8.366666666666667,0.0348756426288731,251.0,0.05,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6851.0,7103.0,,,MT3_raw,,,,,111.0,,,0.2821948488241881,15.666666666666666,3.75,23.75,8.316666666666666,0.0354779670561734,252.0,0.075,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6653.0,6908.0,,,MT3_raw,,,,,306.0,,,0.2855543113101904,15.8,3.733333333333333,23.75,8.6,0.0369137232194557,255.0,0.1,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6060.0,6321.0,,,MT3_raw,,,,,893.0,,,0.2922732362821948,15.883333333333333,3.7666666666666666,23.75,8.666666666666666,0.0412909349786426,261.0,0.15,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,5394.0,5660.0,,,MT3_raw,,,,,1554.0,,,0.2978723404255319,15.741666666666667,3.608333333333333,23.75,8.633333333333333,0.0469964664310954,266.0,0.2,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,6350.0,6606.0,,,MT3_recalibrated_intercept_only,,,,,608.0,,,0.2866741321388578,15.783333333333337,3.75,23.75,8.5,0.0387526491068725,256.0,0.005,,,
