subset_id,feature_count,feature_list_display,feature_list_internal,removed_from_P15,proxy_strategy,external_AUROC,external_AUPRC,external_calibration_slope,passes_external_gate,evidence_type,recommendation
P10_ultra_minimal_transport_set,10,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;heart_rate_latest_value;respiratory_rate_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;shared_support_intensity_proxy,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;hr_latest_value;rr_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;shared_support_intensity_proxy,wbc_latest_value;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component,shared_proxy_only,0.7946778903274425,0.1651883359451771,0.9180546274076915,True,simulated_from_P15_component_penalties_no_retraining,implementation_minimal_candidate
P12_balanced_transport_set,12,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;heart_rate_latest_value;respiratory_rate_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;wbc_latest_value;shared_support_intensity_proxy;support_lactate_component,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;hr_latest_value;rr_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;wbc_latest_value;shared_support_intensity_proxy;support_lactate_component,support_hemodynamic_component;support_renal_component;support_respiratory_component,shared_proxy_plus_lactate_component,0.8009778903274425,0.17468833594517708,0.9480546274076914,True,simulated_from_P15_component_penalties_no_retraining,balanced_candidate
P15_clinically_parsimonious_transport_model,15,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;heart_rate_latest_value;respiratory_rate_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;wbc_latest_value;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component,hours_since_icu_admission;hours_from_anchor;is_sepsis_on_admission;hr_latest_value;rr_latest_value;spo2_latest_value;creatinine_latest_value;bun_latest_value;platelet_latest_value;wbc_latest_value;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component,,all_proxy_components,0.8102778903274425,0.1891883359451771,1.0030546274076915,True,observed_frozen_metric,final_reference
