feature_set,model_name,dataset_name,best_c,temperature,feature_count,required_labs_count,bedside_only_possible_flag,requires_advanced_drug_dose_flag,requires_complex_engineering_flag,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,death_brier,calibration_intercept_death,calibration_slope_death,ece_death,internal_external_auroc_drop,internal_external_auprc_drop,external_internal_auroc_ratio,external_internal_auprc_ratio,display_model_name,display_feature_set_name,legacy_model_id,legacy_feature_set_id,manuscript_role,naming_note
F15_minimal_bedside_set,P15_minimal_bedside_model,mimic_internal,0.03,1.0999999999999999,15,5,False,False,False,1030526.0,20807.0,0.020190659915421832,0.7976593393837257,0.19822890757280048,0.584326729270786,0.08654074944399762,-3.105163405233885,1.0634932816320717,0.22063448580427603,-0.012618550943716778,0.009040571627623395,1.015819473703481,0.9543932732197336,P15_clinically_parsimonious_transport_model,F15_clinically_parsimonious_feature_set,P15_minimal_bedside_model,F15_minimal_bedside_set,final clinically parsimonious transport model,"Not an all-bedside score; includes routine vital signs, routine laboratory variables, time-anchor variables, and a shared support-intensity proxy. F15 is not an all-bedside score; it includes routine labs and a shared support-intensity proxy."
F15_minimal_bedside_set,P15_minimal_bedside_model,eicu_external,0.03,1.0999999999999999,15,5,False,False,False,1051357.0,22593.0,0.02148937040415387,0.8102778903274425,0.1891883359451771,0.5524002516470321,0.08471399237194847,-3.080092968732493,1.0030546274076915,0.21948576528533972,-0.012618550943716778,0.009040571627623395,1.015819473703481,0.9543932732197336,P15_clinically_parsimonious_transport_model,F15_clinically_parsimonious_feature_set,P15_minimal_bedside_model,F15_minimal_bedside_set,final clinically parsimonious transport model,"Not an all-bedside score; includes routine vital signs, routine laboratory variables, time-anchor variables, and a shared support-intensity proxy. F15 is not an all-bedside score; it includes routine labs and a shared support-intensity proxy."
F25_clinical_core_set,P25_clinical_core_model,mimic_internal,0.1,1.0999999999999999,25,5,False,False,True,1030526.0,20807.0,0.020190659915421832,0.823106854414183,0.1940391916512421,0.5540004137745528,0.08398595765695167,-3.146452628193703,0.990795549265297,0.20957238133964307,0.009990850611813151,0.0431354169304439,0.9878620247684321,0.7776973993585086,P25_clinical_core_sensitivity_model,F25_clinical_core_feature_set,P25_clinical_core_model,F25_clinical_core_set,sensitivity model,
F25_clinical_core_set,P25_clinical_core_model,eicu_external,0.1,1.0999999999999999,25,5,False,False,True,1051357.0,22593.0,0.02148937040415387,0.8131160038023698,0.1509037747207982,0.5984827995732521,0.11096041495352023,-3.404098105999662,0.7370345567682463,0.2530803754922771,0.009990850611813151,0.0431354169304439,0.9878620247684321,0.7776973993585086,P25_clinical_core_sensitivity_model,F25_clinical_core_feature_set,P25_clinical_core_model,F25_clinical_core_set,sensitivity model,
F40_balanced_transport_set,P40_balanced_transport_model,mimic_internal,1.0,1.0,40,9,False,False,True,1030526.0,20807.0,0.020190659915421832,0.8415593153500575,0.2686091822218176,0.517192677263178,0.07779077090377429,-3.2522185718212366,0.8354588594030461,0.19116364855463114,0.02299227607006704,0.08746092410944847,0.9726789595805221,0.6743933942019034,P40_balanced_transport_sensitivity_model,F40_balanced_transport_feature_set,P40_balanced_transport_model,F40_balanced_transport_set,sensitivity model,
F40_balanced_transport_set,P40_balanced_transport_model,eicu_external,1.0,1.0,40,9,False,False,True,1051357.0,22593.0,0.02148937040415387,0.8185670392799904,0.18114825811236915,0.599440610698975,0.13019767325634743,-3.662476062925799,0.5592450519971471,0.27329105427830674,0.02299227607006704,0.08746092410944847,0.9726789595805221,0.6743933942019034,P40_balanced_transport_sensitivity_model,F40_balanced_transport_feature_set,P40_balanced_transport_model,F40_balanced_transport_set,sensitivity model,
MT3_full_transport_set,MT3_full_transport_set,mimic_internal,0.03,1.0999999999999999,21,5,False,False,True,1030526.0,20807.0,0.020190659915421832,0.805345794028386,0.2052511028741349,0.5757758825650109,0.08469201824950068,-3.0944623501838024,1.0579850757693698,0.21535148710946794,-0.0036613200228132747,0.018926559990251668,1.004546270744768,0.9077882665417009,MT3_Post_METRE_transport_reference_model,MT3_full_transport_reference_feature_set,MT3_full_transport_set,MT3_full_transport_set,Post-METRE transport reference model,"Post-METRE transport reference, not the final clinically parsimonious model."
MT3_full_transport_set,MT3_full_transport_set,eicu_external,0.03,1.0999999999999999,21,5,False,False,True,1051357.0,22593.0,0.02148937040415387,0.8090071140511993,0.18632454288388323,0.5926737670360296,0.09930835634182739,-3.2569815271443083,0.96515082550835,0.24045797354224113,-0.0036613200228132747,0.018926559990251668,1.004546270744768,0.9077882665417009,MT3_Post_METRE_transport_reference_model,MT3_full_transport_reference_feature_set,MT3_full_transport_set,MT3_full_transport_set,Post-METRE transport reference model,"Post-METRE transport reference, not the final clinically parsimonious model."
