model_name,feature,death_class_coefficient,abs_death_class_coefficient,importance_rank,feature_set
P40_balanced_transport_model,platelet_latest_value,-0.1494747930468924,0.1494747930468924,19,F40_balanced_transport_set
P40_balanced_transport_model,antibiotics_active_current,-0.14319490026177045,0.14319490026177045,20,F40_balanced_transport_set
P40_balanced_transport_model,is_sepsis_on_admission,-0.14152786094929504,0.14152786094929504,21,F40_balanced_transport_set
P40_balanced_transport_model,support_renal_component,-0.11460241934612878,0.11460241934612878,22,F40_balanced_transport_set
P40_balanced_transport_model,map_latest_value,0.10583291107872224,0.10583291107872224,23,F40_balanced_transport_set
P40_balanced_transport_model,map_deficit,-0.08732097453703784,0.08732097453703784,24,F40_balanced_transport_set
P40_balanced_transport_model,hr_latest_value,0.07975057356319548,0.07975057356319548,25,F40_balanced_transport_set
P40_balanced_transport_model,creatinine_relative_rise_from_24h_min,0.07500395113714359,0.07500395113714359,26,F40_balanced_transport_set
P40_balanced_transport_model,rr_latest_value,0.06790162926754069,0.06790162926754069,27,F40_balanced_transport_set
P40_balanced_transport_model,wbc_hours_since_last_real_measurement,0.06240543870010669,0.06240543870010669,28,F40_balanced_transport_set
P40_balanced_transport_model,lactate_slope_6h,0.053330144238437086,0.053330144238437086,29,F40_balanced_transport_set
P40_balanced_transport_model,platelet_hours_since_last_real_measurement,0.052536518922813545,0.052536518922813545,30,F40_balanced_transport_set
P40_balanced_transport_model,temperature_latest_value,0.044691476679204346,0.044691476679204346,31,F40_balanced_transport_set
P40_balanced_transport_model,lactate_gt2_burden_24h,0.043250298619321635,0.043250298619321635,32,F40_balanced_transport_set
P40_balanced_transport_model,platelet_relative_drop_24h,0.0420485578220295,0.0420485578220295,33,F40_balanced_transport_set
P40_balanced_transport_model,urine_output_latest_value,-0.03699976475471959,0.03699976475471959,34,F40_balanced_transport_set
P40_balanced_transport_model,culture_flag_current,-0.020075283335617533,0.020075283335617533,35,F40_balanced_transport_set
P40_balanced_transport_model,creatinine_latest_value,-0.017232262019488596,0.017232262019488596,36,F40_balanced_transport_set
P40_balanced_transport_model,support_lactate_component,-0.0162302175816438,0.0162302175816438,37,F40_balanced_transport_set
P40_balanced_transport_model,hr_slope_6h,-0.010918724234927705,0.010918724234927705,38,F40_balanced_transport_set
P40_balanced_transport_model,bilirubin_total_latest_value,0.0001595592145650229,0.0001595592145650229,39,F40_balanced_transport_set
P40_balanced_transport_model,support_proxy_component_count,0.0,0.0,40,F40_balanced_transport_set
MT3_full_transport_set,hours_from_anchor,0.23577044861367302,0.23577044861367302,1,MT3_full_transport_set
MT3_full_transport_set,bun_latest_value,0.23507160429204615,0.23507160429204615,2,MT3_full_transport_set
MT3_full_transport_set,spo2_latest_value,-0.23124092144157826,0.23124092144157826,3,MT3_full_transport_set
MT3_full_transport_set,hr_latest_value,0.21348051708452978,0.21348051708452978,4,MT3_full_transport_set
MT3_full_transport_set,shared_support_intensity_proxy,0.21306373833753575,0.21306373833753575,5,MT3_full_transport_set
MT3_full_transport_set,support_lactate_component,0.21267923134677968,0.21267923134677968,6,MT3_full_transport_set
MT3_full_transport_set,support_hemodynamic_component,0.1859769668632736,0.1859769668632736,7,MT3_full_transport_set
MT3_full_transport_set,antibiotics_active_current,-0.1839153092438992,0.1839153092438992,8,MT3_full_transport_set
MT3_full_transport_set,wbc_latest_value,0.18316067069248307,0.18316067069248307,9,MT3_full_transport_set
MT3_full_transport_set,is_sepsis_on_admission,-0.14386975682705125,0.14386975682705125,10,MT3_full_transport_set
MT3_full_transport_set,platelet_latest_value,-0.14098131924002077,0.14098131924002077,11,MT3_full_transport_set
MT3_full_transport_set,rr_latest_value,0.09660737811873352,0.09660737811873352,12,MT3_full_transport_set
MT3_full_transport_set,support_respiratory_component,0.08495740842207651,0.08495740842207651,13,MT3_full_transport_set
MT3_full_transport_set,hr_slope_6h,-0.057825257490844044,0.057825257490844044,14,MT3_full_transport_set
MT3_full_transport_set,support_renal_component,0.04092612729026608,0.04092612729026608,15,MT3_full_transport_set
MT3_full_transport_set,culture_flag_current,-0.023936138068136645,0.023936138068136645,16,MT3_full_transport_set
MT3_full_transport_set,hours_since_icu_admission,0.020636823786888456,0.020636823786888456,17,MT3_full_transport_set
MT3_full_transport_set,platelet_relative_drop_24h,0.017555391376603394,0.017555391376603394,18,MT3_full_transport_set
MT3_full_transport_set,creatinine_latest_value,-0.017341080456980233,0.017341080456980233,19,MT3_full_transport_set
MT3_full_transport_set,creatinine_relative_rise_from_24h_min,0.013327721695906083,0.013327721695906083,20,MT3_full_transport_set
MT3_full_transport_set,support_proxy_component_count,0.0,0.0,21,MT3_full_transport_set
