feature_set,model_name,feature_count,external_auroc,external_auprc,external_calibration_slope,mt3_external_auroc,mt3_external_auprc,auroc_drop_vs_mt3,auprc_drop_vs_mt3_abs,auprc_drop_vs_mt3_pct,auroc_status,auprc_status,calibration_slope_status,overall_acceptability
F15_minimal_bedside_set,P15_minimal_bedside_model,15,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8090071140511993,0.18632454288388323,-0.0012707762762431685,-0.0028637930612938622,-0.015369918621394755,acceptable,acceptable,ideal,acceptable
F25_clinical_core_set,P25_clinical_core_model,25,0.8131160038023698,0.1509037747207982,0.7370345567682463,0.8090071140511993,0.18632454288388323,-0.004108889751170519,0.03542076816308504,0.1901025362244368,acceptable,borderline_acceptable,acceptable_recalibration_needed,borderline_acceptable
F40_balanced_transport_set,P40_balanced_transport_model,40,0.8185670392799904,0.18114825811236915,0.5592450519971471,0.8090071140511993,0.18632454288388323,-0.009559925228791122,0.005176284771514078,0.027781014199186414,acceptable,acceptable,not_recommended,not_recommended
MT3_full_transport_set,MT3_full_transport_set,21,0.8090071140511993,0.18632454288388323,0.96515082550835,0.8090071140511993,0.18632454288388323,0.0,0.0,0.0,acceptable,acceptable,ideal,acceptable
