dataset_name,scenario,model_name,feature_count,evaluation_strategy,freshness_window_hours,sample_n,death_n,death_rate,auroc,auprc,death_brier,multiclass_brier,calibration_intercept,calibration_slope,ece
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,reference,1030526.0,20807.0,0.020190659915421832,0.7976593393837257,0.19822890757280048,0.08654074944399762,0.584326729270786,-3.105163405233885,1.0634932816320717,0.22063448580427603
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,reference,1030526.0,20807.0,0.020190659915421832,0.7929667829809194,0.17849909099555097,0.09133470406826366,0.5991451406393306,-3.1595470249116566,1.0371899136865959,0.22943075115370087
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,reference,1030526.0,20807.0,0.020190659915421832,0.786416475648098,0.1732470906358961,0.09161963688251339,0.6009865902642728,-3.1466611988915005,1.0391359735061247,0.23005543803205064
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7843116429034709,0.18459333008083298,0.08424570433648394,0.5798087196301466,-3.0588815677442134,1.0583266492488017,0.2187287370768574
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7805509041972489,0.16611260367425343,0.09217658360811909,0.598416691844062,-3.1554749717379664,1.0240127189992252,0.23243148130454575
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7755848145021231,0.1609826129548371,0.09571757776509258,0.605092822496212,-3.191271003315155,1.0051789866562801,0.2369560693859661
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,24,1030526.0,20807.0,0.020190659915421832,0.795877669015199,0.19651521881995532,0.08763762205500171,0.5854770384660788,-3.118598104816047,1.055709786741296,0.22213084314106082
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,24,1030526.0,20807.0,0.020190659915421832,0.7918236845791528,0.17733582076231752,0.09535305341637612,0.6042816166235994,-3.207364119771225,1.0280094206446182,0.23504961290262294
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,24,1030526.0,20807.0,0.020190659915421832,0.7844683171157203,0.16943201614263917,0.09744720534121977,0.608512668675907,-3.2209945639649007,1.0102011977774628,0.2377085917106334
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7843116429034709,0.18459333008083298,0.08424570433648394,0.5798087196301466,-3.0588815677442134,1.0583266492488017,0.2187287370768574
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7805509041972489,0.16611260367425343,0.09217658360811909,0.598416691844062,-3.1554749717379664,1.0240127189992252,0.23243148130454575
mimic_internal,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,12,1030526.0,20807.0,0.020190659915421832,0.7755848145021231,0.1609826129548371,0.09571757776509258,0.605092822496212,-3.191271003315155,1.0051789866562801,0.2369560693859661
eicu_external,current_latest_value_reference,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,reference,1051357.0,22593.0,0.02148937040415387,0.8102778903274425,0.1891883359451771,0.08471399237194847,0.5524002516470321,-3.080092968732493,1.0030546274076915,0.21948576528533972
eicu_external,current_latest_value_reference,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,reference,1051357.0,22593.0,0.02148937040415387,0.803802182291309,0.17673447307711493,0.09504238760053799,0.5823965860187214,-3.173816101282646,1.00997178916976,0.23892869859926108
eicu_external,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,reference,1051357.0,22593.0,0.02148937040415387,0.7977562674402091,0.17110631233337878,0.09202886450382781,0.5852221883900901,-3.1233281760063956,1.0132535819726045,0.2338167927629851
eicu_external,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7846614186847278,0.1673804717186871,0.07536933649849661,0.5465312884394172,-2.9445585428904018,0.9778846111392281,0.20385280985209753
eicu_external,lab12h_freshness_window,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7766515982695815,0.1544821400329509,0.08696212817697922,0.5782562278572367,-3.076007032314417,0.9578412178603608,0.22538011346785228
eicu_external,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7743465702155901,0.1498163818190498,0.08781199770038398,0.5846160641534753,-3.0849383761210034,0.944439074589246,0.22533874685220096
eicu_external,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,24,1051357.0,22593.0,0.02148937040415387,0.8085021444412248,0.18595691483415358,0.08420192636527137,0.5521990636963671,-3.0710401572879786,0.9990549141288636,0.21842101507997833
eicu_external,lab24h_freshness_window,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,24,1051357.0,22593.0,0.02148937040415387,0.8015348153861492,0.172136667151455,0.09703838219984368,0.585900483085531,-3.198740144178251,0.9897891954924274,0.24067709770647053
eicu_external,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,24,1051357.0,22593.0,0.02148937040415387,0.7950124443849479,0.16341018995210868,0.09561113586482535,0.5908773206639748,-3.1760990171794545,0.9723321628346616,0.23718759092886613
eicu_external,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,15,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7846614186847278,0.1673804717186871,0.07536933649849661,0.5465312884394172,-2.9445585428904018,0.9778846111392281,0.20385280985209753
eicu_external,stale_lab_as_missing,P12_true_trained_clinical_landing_model,12,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7766515982695815,0.1544821400329509,0.08696212817697922,0.5782562278572367,-3.076007032314417,0.9578412178603608,0.22538011346785228
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,10,fixed_model_evaluation_no_retraining,12,1051357.0,22593.0,0.02148937040415387,0.7743465702155901,0.1498163818190498,0.08781199770038398,0.5846160641534753,-3.0849383761210034,0.944439074589246,0.22533874685220096
