dataset_name,scenario,model_name,bin,n,mean_predicted_death_prob,observed_death_rate,absolute_calibration_error
eicu_external,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.276, 0.336]",105135,0.3030554303652136,0.017900794216959146,0.2851546361482544
eicu_external,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.336, 0.455]",105136,0.38693636162953937,0.027706970019783898,0.3592293916097555
eicu_external,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.455, 1.0]",105136,0.6221327474454984,0.1031330847663978,0.5189996626791006
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0174, 0.0977]",105136,0.07770300737639343,0.003766549992390808,0.07393645738400263
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0977, 0.125]",105136,0.11164629267765712,0.006039796073656977,0.10560649660400014
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.125, 0.149]",105135,0.13692953743125977,0.008256051742997098,0.12867348568826267
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.149, 0.174]",105136,0.1613733173163219,0.008912266017348958,0.15246105129897294
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.174, 0.201]",105136,0.18735757954709278,0.010824075483183686,0.1765335040639091
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.201, 0.234]",105135,0.21698398026913318,0.013078422979978124,0.20390555728915505
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.234, 0.275]",105136,0.2535156921466676,0.015551285953431745,0.23796440619323583
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.275, 0.337]",105135,0.30344053221198397,0.01881390593047035,0.28462662628151364
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.337, 0.461]",105136,0.39011770496617376,0.02758332065134683,0.36253438431482693
eicu_external,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.461, 1.0]",105136,0.6292127379278399,0.10206779789986303,0.5271449400279768
