dataset_name,model_name,scenario,reference_auroc,reference_auprc,reference_calibration_slope,scenario_auroc,scenario_auprc,scenario_calibration_slope,delta_AUROC,delta_AUPRC,relative_AUPRC_drop,relative_AUPRC_drop_pct,delta_calibration_slope,auprc_freshness_status,calibration_slope_status,freshness_noninferior
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,current_latest_value_reference,0.7977562674402091,0.17110631233337878,1.0132535819726045,0.7977562674402091,0.17110631233337878,1.0132535819726045,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,lab12h_freshness_window,0.7977562674402091,0.17110631233337878,1.0132535819726045,0.7743465702155901,0.1498163818190498,0.944439074589246,-0.023409697224619053,-0.02128993051432898,0.12442516131636495,12.442516131636495,-0.06881450738335848,borderline_acceptable,ideal,True
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,lab24h_freshness_window,0.7977562674402091,0.17110631233337878,1.0132535819726045,0.7950124443849479,0.16341018995210868,0.9723321628346616,-0.0027438230552612186,-0.0076961223812700985,0.04497860000790145,4.497860000790145,-0.040921419137942894,acceptable,ideal,True
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,stale_lab_as_missing,0.7977562674402091,0.17110631233337878,1.0132535819726045,0.7743465702155901,0.1498163818190498,0.944439074589246,-0.023409697224619053,-0.02128993051432898,0.12442516131636495,12.442516131636495,-0.06881450738335848,borderline_acceptable,ideal,True
eicu_external,P12_true_trained_clinical_landing_model,current_latest_value_reference,0.803802182291309,0.17673447307711493,1.00997178916976,0.803802182291309,0.17673447307711493,1.00997178916976,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
eicu_external,P12_true_trained_clinical_landing_model,lab12h_freshness_window,0.803802182291309,0.17673447307711493,1.00997178916976,0.7766515982695815,0.1544821400329509,0.9578412178603608,-0.02715058402172743,-0.02225233304416402,0.12590827729717796,12.590827729717796,-0.05213057130939913,borderline_acceptable,ideal,True
eicu_external,P12_true_trained_clinical_landing_model,lab24h_freshness_window,0.803802182291309,0.17673447307711493,1.00997178916976,0.8015348153861492,0.172136667151455,0.9897891954924274,-0.002267366905159718,-0.00459780592565992,0.026015331619280352,2.6015331619280353,-0.02018259367733255,acceptable,ideal,True
eicu_external,P12_true_trained_clinical_landing_model,stale_lab_as_missing,0.803802182291309,0.17673447307711493,1.00997178916976,0.7766515982695815,0.1544821400329509,0.9578412178603608,-0.02715058402172743,-0.02225233304416402,0.12590827729717796,12.590827729717796,-0.05213057130939913,borderline_acceptable,ideal,True
eicu_external,P15_clinically_parsimonious_transport_model,current_latest_value_reference,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
eicu_external,P15_clinically_parsimonious_transport_model,lab12h_freshness_window,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.7846614186847278,0.1673804717186871,0.9778846111392281,-0.025616471642714633,-0.021807864226489976,0.11527065935401773,11.527065935401772,-0.02517001626846338,borderline_acceptable,ideal,True
eicu_external,P15_clinically_parsimonious_transport_model,lab24h_freshness_window,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8085021444412248,0.18595691483415358,0.9990549141288636,-0.00177574588621765,-0.003231421111023508,0.01708044576257549,1.708044576257549,-0.0039997132788278655,acceptable,ideal,True
eicu_external,P15_clinically_parsimonious_transport_model,stale_lab_as_missing,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.7846614186847278,0.1673804717186871,0.9778846111392281,-0.025616471642714633,-0.021807864226489976,0.11527065935401773,11.527065935401772,-0.02517001626846338,borderline_acceptable,ideal,True
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,current_latest_value_reference,0.786416475648098,0.1732470906358961,1.0391359735061247,0.786416475648098,0.1732470906358961,1.0391359735061247,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,lab12h_freshness_window,0.786416475648098,0.1732470906358961,1.0391359735061247,0.7755848145021231,0.1609826129548371,1.0051789866562801,-0.010831661145974891,-0.01226447768105901,0.07079182476336408,7.079182476336408,-0.033956986849844606,acceptable,ideal,True
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,lab24h_freshness_window,0.786416475648098,0.1732470906358961,1.0391359735061247,0.7844683171157203,0.16943201614263917,1.0102011977774628,-0.0019481585323777306,-0.003815074493256937,0.022021001791452124,2.2021001791452126,-0.028934775728661988,acceptable,ideal,True
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,stale_lab_as_missing,0.786416475648098,0.1732470906358961,1.0391359735061247,0.7755848145021231,0.1609826129548371,1.0051789866562801,-0.010831661145974891,-0.01226447768105901,0.07079182476336408,7.079182476336408,-0.033956986849844606,acceptable,ideal,True
mimic_internal,P12_true_trained_clinical_landing_model,current_latest_value_reference,0.7929667829809194,0.17849909099555097,1.0371899136865959,0.7929667829809194,0.17849909099555097,1.0371899136865959,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
mimic_internal,P12_true_trained_clinical_landing_model,lab12h_freshness_window,0.7929667829809194,0.17849909099555097,1.0371899136865959,0.7805509041972489,0.16611260367425343,1.0240127189992252,-0.012415878783670453,-0.012386487321297546,0.06939243921195248,6.939243921195248,-0.013177194687370664,acceptable,ideal,True
mimic_internal,P12_true_trained_clinical_landing_model,lab24h_freshness_window,0.7929667829809194,0.17849909099555097,1.0371899136865959,0.7918236845791528,0.17733582076231752,1.0280094206446182,-0.001143098401766629,-0.0011632702332334544,0.006516953261473183,0.6516953261473183,-0.009180493041977655,acceptable,ideal,True
mimic_internal,P12_true_trained_clinical_landing_model,stale_lab_as_missing,0.7929667829809194,0.17849909099555097,1.0371899136865959,0.7805509041972489,0.16611260367425343,1.0240127189992252,-0.012415878783670453,-0.012386487321297546,0.06939243921195248,6.939243921195248,-0.013177194687370664,acceptable,ideal,True
mimic_internal,P15_clinically_parsimonious_transport_model,current_latest_value_reference,0.7976593393837257,0.19822890757280048,1.0634932816320717,0.7976593393837257,0.19822890757280048,1.0634932816320717,0.0,0.0,0.0,0.0,0.0,acceptable,ideal,True
