row_n,death_n,death_rate,auroc_death,auprc_death,death_brier,calibration_intercept_death,calibration_slope_death,mean_predicted_death,multiclass_brier,model_name,calibration_method,recalibration_patient_n,recalibration_row_n,holdout_patient_n,holdout_row_n,raw_auroc_death,raw_auprc_death,raw_death_brier,raw_multiclass_brier,raw_calibration_intercept_death,raw_calibration_slope_death,delta_auroc_vs_raw,delta_auprc_vs_raw,delta_death_brier_vs_raw,delta_multiclass_brier_vs_raw,delta_calibration_intercept_vs_raw,delta_calibration_slope_vs_raw
836256.0,18033.0,0.021563970841464816,0.7001047378577658,0.0363265599093081,0.037752532008609396,-3.0827957767794154,0.06200802371589453,0.028124872832755828,0.533606739356234,M1,intercept_only,1751.0,215101.0,7003.0,836256.0,0.7138680069943261,0.038405002648344594,0.25819377158351303,0.8831548569803631,-3.878819832336293,0.07428115526543555,-0.01376326913656023,-0.0020784427390364915,-0.22044123957490364,-0.3495481176241291,0.7960240555568774,-0.012273131549541023
836256.0,18033.0,0.021563970841464816,0.7259621510638646,0.04484214457770305,0.02078211237550838,0.6008123348294109,1.1653188079366281,0.021240781877693446,0.5039415531751766,M1,isotonic,1751.0,215101.0,7003.0,836256.0,0.7138680069943261,0.038405002648344594,0.25819377158351303,0.8831548569803631,-3.878819832336293,0.07428115526543555,0.01209414406953857,0.006437141929358459,-0.23741165920800467,-0.3792133038051865,4.479632167165704,1.0910376526711927
836256.0,18033.0,0.021563970841464816,0.7138982479320102,0.0384325558820683,0.021069667232610344,0.5026305487496437,1.1333359895130286,0.02155627718313385,0.5034994498593169,M1,logistic_recalibration,1751.0,215101.0,7003.0,836256.0,0.7138680069943261,0.038405002648344594,0.25819377158351303,0.8831548569803631,-3.878819832336293,0.07428115526543555,3.0240937684111735e-05,2.755323372370666e-05,-0.2371241043509027,-0.3796554071210462,4.381450381085936,1.059054834247593
836256.0,18033.0,0.021563970841464816,0.7138680069943261,0.038405002648344594,0.25819377158351303,-3.878819832336293,0.07428115526543555,0.3941536212327898,0.8831548569803631,M1,raw,1751.0,215101.0,7003.0,836256.0,0.7138680069943261,0.038405002648344594,0.25819377158351303,0.8831548569803631,-3.878819832336293,0.07428115526543555,0.0,0.0,0.0,0.0,0.0,0.0
836256.0,18033.0,0.021563970841464816,0.7625349804286842,0.05241335151047624,0.04324036159499867,-2.8606057001128127,0.15723287966930447,0.03298836673397034,0.67332557991007,T1,intercept_only,1751.0,215101.0,7003.0,836256.0,0.7625256720683296,0.052388475730467364,0.21860079914670164,0.8199028968598634,-3.8691135498774174,0.15719657627895428,9.308360354620682e-06,2.4875780008877524e-05,-0.17536043755170297,-0.14657731694979337,1.0085078497646047,3.630339035018415e-05
836256.0,18033.0,0.021563970841464816,0.7634163159734872,0.05601960269644389,0.027094556524078373,-3.3425840890151193,0.12070192647909027,0.027917962846097464,0.6692159648133236,T1,isotonic,1751.0,215101.0,7003.0,836256.0,0.7625256720683296,0.052388475730467364,0.21860079914670164,0.8199028968598634,-3.8691135498774174,0.15719657627895428,0.0008906439051576953,0.0036311269659765263,-0.19150624262262325,-0.15068693204653982,0.5265294608622981,-0.03649464979986401
836256.0,18033.0,0.021563970841464816,0.7625349804286842,0.05241335151047624,0.02170583608488924,-1.0424119959277676,0.7324800372037865,0.023851398400367027,0.662784937122179,T1,logistic_recalibration,1751.0,215101.0,7003.0,836256.0,0.7625256720683296,0.052388475730467364,0.21860079914670164,0.8199028968598634,-3.8691135498774174,0.15719657627895428,9.308360354620682e-06,2.4875780008877524e-05,-0.1968949630618124,-0.1571179597376844,2.8267015539496496,0.5752834609248323
836256.0,18033.0,0.021563970841464816,0.7625256720683296,0.052388475730467364,0.21860079914670164,-3.8691135498774174,0.15719657627895428,0.37752145076194255,0.8199028968598634,T1,raw,1751.0,215101.0,7003.0,836256.0,0.7625256720683296,0.052388475730467364,0.21860079914670164,0.8199028968598634,-3.8691135498774174,0.15719657627895428,0.0,0.0,0.0,0.0,0.0,0.0
836256.0,18033.0,0.021563970841464816,0.7651357696224814,0.05347078943400622,0.043347628700939424,-2.8623607819221575,0.157156732844676,0.03324324739283791,0.7204594558249283,T2,intercept_only,1751.0,215101.0,7003.0,836256.0,0.7651262760708591,0.05344547336954029,0.1909839361678878,0.826585623548373,-3.8256019450433194,0.15728540847303799,9.493551622274943e-06,2.5316064465930044e-05,-0.1476363074669484,-0.10612616772344463,0.9632411631211619,-0.00012867562836199609
836256.0,18033.0,0.021563970841464816,0.7659961784523684,0.057339296453321364,0.02751984429508882,-3.3435010053323633,0.12012439082049269,0.028410816733282707,0.7159012944022126,T2,isotonic,1751.0,215101.0,7003.0,836256.0,0.7651262760708591,0.05344547336954029,0.1909839361678878,0.826585623548373,-3.8256019450433194,0.15728540847303799,0.0008699023815093021,0.003893823083781077,-0.16346409187279898,-0.11068432914616033,0.48210093971095613,-0.0371610176525453
