row_n,death_n,death_rate,auroc_death,auprc_death,death_brier,multiclass_brier,calibration_intercept_death,calibration_slope_death,ece_death_10bin,mean_predicted_death,median_predicted_death,p90_predicted_death,p99_predicted_death,model_name,calibration_method,recalibration_patient_n,holdout_patient_n,method_parameters_json,raw_auroc_death,raw_auprc_death,raw_death_brier,raw_multiclass_brier,raw_calibration_slope_death,raw_ece_death_10bin,delta_auroc_vs_raw,delta_auprc_vs_raw,delta_death_brier_vs_raw,delta_multiclass_brier_vs_raw,delta_slope_vs_raw,delta_ece_vs_raw,calibration_slope_distance
835788.0,17984.0,0.02151741829267709,0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,-3.232150000845921,0.9861664695603755,0.2385456302285693,0.2600630485212464,0.20980836595712493,0.5072025777981126,0.8750091685155602,MT3_physiology_support_proxy,raw,1750.0,7004.0,{},0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,0.9861664695603755,0.2385456302285693,0.0,0.0,0.0,0.0,0.0,0.0,0.013833530439624542
835788.0,17984.0,0.02151741829267709,0.8105793612938319,0.1913066896373459,0.019118492884312083,0.4554428542268338,0.08558711656970798,0.9874296704130017,0.0030436321137451024,0.019261870218204937,0.00914115083643709,0.03452646438573597,0.19564941017913487,MT3_physiology_support_proxy,intercept_only,1750.0,7004.0,"{""intercept"": -3.3597048820849627}",0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,0.9861664695603755,0.2385456302285693,0.0,0.0,-0.07853778131521953,-0.1358010095488879,0.0012632008526262117,-0.2355019981148242,0.01257032958699833
835788.0,17984.0,0.02151741829267709,0.8105793612938319,0.1913066896373459,0.019149935095239577,0.45543496990340787,0.4393788080852747,1.0991195613877163,0.0024039680584060585,0.019545968163902038,0.0106457620340966,0.035081603048108104,0.16916405349670882,MT3_physiology_support_proxy,logistic_recalibration,1750.0,7004.0,"{""intercept"": -3.340257766356611, ""slope"": 0.8986124296223568}",0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,0.9861664695603755,0.2385456302285693,0.0,0.0,-0.07850633910429204,-0.13580889387231382,0.11295309182734081,-0.23614166217016325,0.09911956138771627
835788.0,17984.0,0.02151741829267709,0.8098142676102328,0.18229180265382483,0.019140234122178284,0.45550866687453156,0.2398860281126871,1.0410896216046088,0.002194519321252774,0.019557188656344843,0.010355616269334155,0.0423963133640553,0.2016129032258065,MT3_physiology_support_proxy,isotonic,1750.0,7004.0,{},0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,0.9861664695603755,0.2385456302285693,-0.0007650936835991162,-0.00901488698352107,-0.07851604007735333,-0.13573519690119012,0.05492315204423337,-0.23635111090731653,0.04108962160460883
835788.0,17984.0,0.02151741829267709,0.8105793559223816,0.1911705172444239,0.0804810755626582,0.565988301887821,-3.231808374868429,0.4934374821646431,0.14698012561611437,0.16849754390879146,0.06585589063344288,0.5144021670237652,0.9800032856047082,MT3_physiology_support_proxy,temperature_scaling,1750.0,7004.0,"{""temperature"": 0.5}",0.8105793612938319,0.1913066896373459,0.09765627419953161,0.5912438637757217,0.9861664695603755,0.2385456302285693,-5.37145028456365e-09,-0.00013617239292199046,-0.017175198636873418,-0.02525556188790068,-0.49272898739573234,-0.09156550461245494,0.5065625178353569
835788.0,17984.0,0.02151741829267709,0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,-3.875071826591514,0.07254157090440848,0.37175829644334124,0.3932757147360183,0.2697387746649992,0.9915046276310712,0.9999999999999969,M1_original_rich,raw,1750.0,7004.0,{},0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,0.07254157090440848,0.37175829644334124,0.0,0.0,0.0,0.0,0.0,0.0,0.9274584290955915
835788.0,17984.0,0.02151741829267709,0.6818156845789853,0.034146154913089005,0.032497076285840545,0.5269980029291833,-3.1591099017464908,0.054463129776095416,0.041773943151602086,0.022535791669502377,1e-06,0.0001425188014252248,0.5498125703370473,M1_original_rich,intercept_only,1750.0,7004.0,"{""intercept"": -13.6155961254031}",0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,0.07254157090440848,0.37175829644334124,-0.025899069697270183,-0.0034139680782902526,-0.22429504766053598,-0.35506083778577746,-0.018078441128313062,-0.32998435329173914,0.9455368702239045
835788.0,17984.0,0.02151741829267709,0.7077489597401728,0.03759005219266034,0.021039564092671523,0.5057060340649686,-0.24105286854887087,0.9355306562145633,8.094573915195039e-05,0.02143647255352514,0.018804825443373807,0.02850033402205638,0.05421349498112464,M1_original_rich,logistic_recalibration,1750.0,7004.0,"{""intercept"": -3.880989783256743, ""slope"": 0.07396779536312739}",0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,0.07254157090440848,0.37175829644334124,3.4205463917302836e-05,2.9929201281080065e-05,-0.235752559853705,-0.37635280664999216,0.8629890853101548,-0.3716773507041893,0.06446934378543667
835788.0,17984.0,0.02151741829267709,0.7181559289444682,0.043436559001337756,0.020755971999905958,0.5061573588518953,-0.21631027301130396,0.9360154620743752,0.00011143454688296653,0.021405983745794124,0.010545973854773152,0.04957418198117436,0.04957418198117436,M1_original_rich,isotonic,1750.0,7004.0,{},0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,0.07254157090440848,0.37175829644334124,0.010441174668212705,0.005876436009958498,-0.23603615194647057,-0.3759014818630655,0.8634738911699668,-0.3716468618964583,0.06398453792562475
835788.0,17984.0,0.02151741829267709,0.7077489597401728,0.03759005219266034,0.2564238928868572,0.8774623369960902,-3.8752428641415313,0.08708070974272301,0.38767607089712874,0.40919348918980586,0.30365417583364707,0.9814109458506783,0.9999900000916655,M1_original_rich,temperature_scaling,1750.0,7004.0,"{""temperature"": 1.2}",0.7077147542762555,0.03756012299137926,0.2567921239463765,0.8820588407149608,0.07254157090440848,0.37175829644334124,3.4205463917302836e-05,2.9929201281080065e-05,-0.00036823105951933055,-0.004596503718870548,0.014539138838314536,0.015917774453787503,0.912919290257277
