model_name,component_group,dataset_name,subgroup_type,subgroup_value,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8128422865760833,0.19967376633899583,0.5908040378595202,-3.108975658696998,1.0722570082513756
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7912014821788237,0.2099259338487508,0.5529348272821317,-3.021269461124608,1.054703917210155
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8005788397166083,0.23165376508927624,0.5607601110387456,-3.3217957161571516,1.069171660452663
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.8172219916672201,0.24978103776841654,0.5258202242991402,-3.38337594635283,1.1827640228646192
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.805046141427971,0.19174580111521425,0.5924623013768824,-2.990553477591288,1.039073404195446
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.8044827655731612,0.20364832472828293,0.5765060926328612,-3.0740221609597276,1.0653319536311894
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8005788397166083,0.23165376508927624,0.5607601110387456,-3.3217957161571516,1.069171660452663
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.8033426658665186,0.1694630507656393,0.5902639371421297,-3.2383055158607643,0.9823160164555806
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,phenotype_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.819432877090174,0.23028477002489275,0.5917295584215397,-3.2711540773462033,1.014201460553378
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,phenotype_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8114804878606166,0.2618593856099331,0.6298124391914448,-3.267744406132394,0.8535257208180494
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,is_sepsis_on_admission,0,643867.0,14759.0,0.022922435844669783,0.8186084510370255,0.19595482027112912,0.5747904166843968,-3.379755061593686,0.9852643641468829
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,is_sepsis_on_admission,1,407490.0,7834.0,0.019225011656727773,0.8034965275012691,0.17516798662390556,0.6209309000720645,-2.9936443914352675,0.9882643207396444
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,phenotype_transfer_group,stable_transfer_Phenotype_1_2,990579.0,20018.0,0.020208383177919176,0.805673651391009,0.17706713478900188,0.5903950853596941,-3.242763435471493,0.987606306312318
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,eicu_external,phenotype_transfer_group,weak_transfer_Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8114804878606166,0.2618593856099331,0.6298124391914448,-3.267744406132394,0.8535257208180494
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.814692361341509,0.1988993610194622,0.6108594696150104,-2.9490247740800384,1.0669862904472298
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7980296881213519,0.21805830615568952,0.504712842186231,-3.170708969669778,1.1072969533669377
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8016931467665382,0.23183090955142713,0.6219140797961066,-3.6727498944896424,1.0842935726292144
