model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,death_Brier,0.08471399237194847,0.0818236178774964,0.08811340947726705,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,multiclass_Brier,0.5524002516470321,0.546052923699015,0.5583261729713114,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,calibration_intercept,-3.080092968732493,-3.168194949185324,-3.014083065612648,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,calibration_slope,1.0030546274076915,0.941324915663837,1.058383574672345,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,ECE,0.21948576528533972,0.215388909290883,0.2245027929122324,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,AUROC,0.803802182291309,0.7897441843347274,0.8166174675104577,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,AUPRC,0.17673447307711493,0.15756658090805598,0.19764521907418897,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,death_Brier,0.09504238760053799,0.09178801415065659,0.09903067952065882,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,multiclass_Brier,0.5823965860187214,0.577203572479281,0.5878510191723119,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,calibration_intercept,-3.173816101282646,-3.261118361132687,-3.107716119081845,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,primary_model,calibration_slope,1.00997178916976,0.9475955625661882,1.0655236664946628,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
