model_name,feature_role,dataset_name,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_slope_death,delta_auroc_vs_physiology_only,delta_auprc_vs_physiology_only,delta_brier_vs_physiology_only,delta_slope_vs_physiology_only
B1_C1_MT1_physiology_only_no_proxy,physiology_only_no_support_proxy,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.7534612874280747,0.1133915869920783,0.6062910085171009,1.0054600694427431,0.0,0.0,0.0,0.0
B1_C1_MT1_physiology_only_no_proxy,physiology_only_no_support_proxy,eicu_external,1051357.0,22593.0,0.0214893704041538,0.7634024506790825,0.1329250381979279,0.6822396301022429,0.998366734579404,0.0,0.0,0.0,0.0
C2_MT2_physiology_minimal_recency,minimal_recency,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.7813236740098186,0.1080797177431288,0.5854333845897866,0.8843741677426743,0.027862386581743892,-0.005311869248949497,-0.020857623927314384,-0.12108590170006883
C2_MT2_physiology_minimal_recency,minimal_recency,eicu_external,1051357.0,22593.0,0.0214893704041538,0.7704480959183257,0.0993125126815836,0.6926403633846236,0.6418268506795001,0.007045645239243226,-0.03361252551634429,0.01040073328238078,-0.3565398838999039
C3_physiology_full_quality,full_quality_without_measurement_intensity,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.8163412380739874,0.1432640101641378,0.5388150289777232,0.8427731262190225,0.06287995064591267,0.029872423172059515,-0.06747597953937778,-0.16268694322372068
C3_physiology_full_quality,full_quality_without_measurement_intensity,eicu_external,1051357.0,22593.0,0.0214893704041538,0.6628855746281687,0.0310703079666613,0.9804440092062112,0.0457869209285732,-0.10051687605091386,-0.1018547302312666,0.29820437910396835,-0.9525798136508308
C4_physiology_full_quality_measurement_intensity,full_quality_plus_measurement_intensity,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.8334146711572523,0.1714145224514799,0.5116758902361093,0.8678155303423037,0.0799533837291776,0.0580229354594016,-0.09461511828099167,-0.1376445391004394
C4_physiology_full_quality_measurement_intensity,full_quality_plus_measurement_intensity,eicu_external,1051357.0,22593.0,0.0214893704041538,0.6499300365167391,0.0294920820131758,1.0135981817086686,0.0361299596462001,-0.11347241416234344,-0.1034329561847521,0.3313585516064257,-0.9622367749332038
