model_name,dataset_name,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death,external_internal_auroc_drop,external_internal_auprc_drop
MT1_physiology_only,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.7534612874280747,0.11339158699207838,0.6062910085171009,-3.183864316575249,1.0054600694427431,-0.0099411632510078,-0.019533451205849595
MT1_physiology_only,eicu_external,1051357.0,22593.0,0.02148937040415387,0.7634024506790825,0.13292503819792797,0.6822396301022429,-3.573387741767834,0.9983667345794041,-0.0099411632510078,-0.019533451205849595
MT2_physiology_minimal_recency,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.7813236740098186,0.1080797177431288,0.5854333845897866,-3.2595685574255637,0.8843741677426743,0.010875578091492866,0.00876720506154513
MT2_physiology_minimal_recency,eicu_external,1051357.0,22593.0,0.02148937040415387,0.7704480959183257,0.09931251268158367,0.6926403633846236,-3.6652464208860103,0.6418268506795001,0.010875578091492866,0.00876720506154513
MT3_physiology_support_proxy,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.805345794028386,0.2052511028741349,0.5757758825650097,-3.0944623501837945,1.057985075769373,-0.0036613200228132747,0.018926559990251668
MT3_physiology_support_proxy,eicu_external,1051357.0,22593.0,0.02148937040415387,0.8090071140511993,0.18632454288388323,0.5926737670360287,-3.256981527144304,0.9651508255083516,-0.0036613200228132747,0.018926559990251668
MT4_support_proxy_phenotype_sensitivity,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.807332226607885,0.20430607524488745,0.5731538093400614,-3.1010912949788683,1.0465072866270893,-0.003755602703322314,0.022987585498471935
MT4_support_proxy_phenotype_sensitivity,eicu_external,1051357.0,22593.0,0.02148937040415387,0.8110878293112073,0.1813184897464155,0.6213904020736144,-3.0565393044742093,0.9126688651101833,-0.003755602703322314,0.022987585498471935
M1_original_rich,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.8706060787754399,0.27329018706990316,0.4672366844800886,-3.273295275529093,0.895665295468659,0.16161993743130187,0.23561896645602287
M1_original_rich,eicu_external,1051357.0,22593.0,0.02148937040415387,0.7089861413441381,0.03767122061388028,0.8788226425612441,-3.876280772129801,0.07282813447500927,0.16161993743130187,0.23561896645602287
C1_dynamic_SOFA,mimic_internal_test,1030526.0,20807.0,0.020190659915421832,0.7623211132262806,0.10638629667868578,0.5585232725241237,-3.3189832838193,0.9323290074210878,0.03697379505866483,0.03952453773130994
C1_dynamic_SOFA,eicu_external,1051357.0,22593.0,0.02148937040415387,0.7253473181676158,0.06686175894737584,0.8256609410276378,-3.5126092556619892,0.49193470537050843,0.03697379505866483,0.03952453773130994
