audit_item,model_name,dataset_scope,metric,table_value,source_value,consistent
Table3_vs_component_reassessment,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,mimic_internal_test,calibration_slope_death,1.057985075769373,1.057985075769373,True
Table3_vs_component_reassessment,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,eicu_external,auroc_death_ovr,0.8090071140511993,0.8090071140511993,True
Table3_vs_component_reassessment,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,eicu_external,auprc_death,0.1863245428838832,0.1863245428838832,True
Table3_vs_component_reassessment,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,eicu_external,multiclass_brier,0.5926737670360287,0.5926737670360287,True
Table3_vs_component_reassessment,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,eicu_external,calibration_slope_death,0.9651508255083516,0.9651508255083516,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,mimic_internal_test,auroc_death_ovr,0.807332226607885,0.807332226607885,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,mimic_internal_test,auprc_death,0.2043060752448874,0.2043060752448874,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,mimic_internal_test,multiclass_brier,0.5731538093400614,0.5731538093400614,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,mimic_internal_test,calibration_slope_death,1.0465072866270893,1.0465072866270893,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,eicu_external,auroc_death_ovr,0.8110878293112073,0.8110878293112073,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,eicu_external,auprc_death,0.1813184897464155,0.1813184897464155,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,eicu_external,multiclass_brier,0.6213904020736144,0.6213904020736144,True
Table3_vs_component_reassessment,A2_MT4_best_transport_hard_phenotype,eicu_external,calibration_slope_death,0.9126688651101832,0.9126688651101832,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,mimic_internal_test,auroc_death_ovr,0.8071850100275433,0.8071850100275433,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,mimic_internal_test,auprc_death,0.2043655534796483,0.2043655534796483,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,mimic_internal_test,multiclass_brier,0.5733662921934937,0.5733662921934937,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,mimic_internal_test,calibration_slope_death,1.0436819071108907,1.0436819071108907,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,eicu_external,auroc_death_ovr,0.8011934298262259,0.8011934298262259,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,eicu_external,auprc_death,0.1587419649186651,0.1587419649186651,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,eicu_external,multiclass_brier,0.6503198750172895,0.6503198750172895,True
Table3_vs_component_reassessment,A3_best_transport_soft_membership,eicu_external,calibration_slope_death,0.7848899655121343,0.7848899655121343,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,mimic_internal_test,auroc_death_ovr,0.7534612874280747,0.7534612874280747,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,mimic_internal_test,auprc_death,0.1133915869920783,0.1133915869920783,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,mimic_internal_test,multiclass_brier,0.6062910085171009,0.6062910085171009,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,mimic_internal_test,calibration_slope_death,1.0054600694427431,1.0054600694427431,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,eicu_external,auroc_death_ovr,0.7634024506790825,0.7634024506790825,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,eicu_external,auprc_death,0.1329250381979279,0.1329250381979279,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,eicu_external,multiclass_brier,0.6822396301022429,0.6822396301022429,True
Table4_vs_component_reassessment,B1_C1_MT1_physiology_only_no_proxy,eicu_external,calibration_slope_death,0.998366734579404,0.998366734579404,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,mimic_internal_test,auroc_death_ovr,0.7813236740098186,0.7813236740098186,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,mimic_internal_test,auprc_death,0.1080797177431288,0.1080797177431288,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,mimic_internal_test,multiclass_brier,0.5854333845897866,0.5854333845897866,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,mimic_internal_test,calibration_slope_death,0.8843741677426743,0.8843741677426743,True
